host,number_of_rows,column_count,column_name_and_density
2findlocal.com,29007,7,"{'address': 99, 'name': 100, 'telephone': 99, 'pricerange': 100, 'geo': 99, 'hasmap': 99, 'url': 99}"
411.ca,28658,5,"{'address': 98, 'name': 100, 'telephone': 99, 'geo': 48, 'url': 43}"
homestars.com,28262,3,"{'address': 100, 'name': 100, 'url': 100}"
finda.co.nz,27268,7,"{'geo': 66, 'name': 66, 'faxnumber': 39, 'description': 65, 'telephone': 99, 'aggregaterating': 73, 'address': 67}"
goo.ne.jp,23297,5,"{'address': 100, 'name': 100, 'telephone': 96, 'geo': 29, 'url': 29}"
goyellow.de,22726,4,"{'geo': 92, 'address': 100, 'name': 100, 'telephone': 60}"
indiamart.com,20164,6,"{'address': 100, 'description': 98, 'geo': 92, 'name': 100, 'telephone': 97, 'url': 86}"
indeed.com,19597,3,"{'review': 99, 'name': 100, 'aggregaterating': 99}"
jetstar.com,19368,3,"{'address': 100, 'name': 100, 'aggregaterating': 100}"
jornaldenegocios.pt,18534,5,"{'address': 100, 'taxid': 45, 'name': 100, 'description': 99, 'telephone': 28}"
birdeye.com,18528,7,"{'address': 100, 'aggregaterating': 97, 'description': 74, 'name': 100, 'openinghoursspecification': 99, 'pricerange': 100, 'telephone': 99}"
chambermaster.com,17621,7,"{'address': 99, 'name': 91, 'description': 49, 'telephone': 82, 'sameas': 51, 'faxnumber': 26, 'email': 27}"
uk.com,17275,7,"{'name': 99, 'paymentaccepted': 89, 'url': 89, 'currenciesaccepted': 89, 'openinghours': 89, 'pricerange': 99, 'aggregaterating': 89}"
provenexpert.com,16060,9,"{'address': 99, 'aggregaterating': 62, 'email': 97, 'faxnumber': 26, 'name': 100, 'openinghours': 53, 'review': 60, 'telephone': 79, 'geo': 66}"
virgilio.it,15879,9,"{'address': 100, 'streetaddress': 99, 'postalcode': 99, 'name': 100, 'telephone': 99, 'addresslocality': 100, 'url': 100, 'image': 36, 'logo': 36}"
vconnect.com,15045,5,"{'address': 100, 'description': 100, 'geo': 99, 'name': 100, 'telephone': 99}"
bsearch.be,14821,5,"{'address': 100, 'name': 100, 'description': 100, 'telephone': 98, 'url': 99}"
traillink.com,14646,3,"{'name': 100, 'description': 100, 'aggregaterating': 99}"
wyzant.com,14010,8,"{'areaserved': 98, 'brand': 100, 'description': 100, 'knowsabout': 94, 'name': 100, 'review': 94, 'telephone': 100, 'aggregaterating': 88}"
11880.com,13702,13,"{'image': 76, 'address': 98, 'telephone': 97, 'datemodified': 76, 'url': 74, 'geo': 76, 'review': 28, 'name': 100, 'logo': 32, 'openinghoursspecification': 47, 'aggregaterating': 29, 'email': 62, 'faxnumber': 35}"
enyakinnerde.com,13625,3,"{'address': 100, 'name': 100, 'telephone': 100}"
101dentist.com,13597,3,"{'address': 100, 'name': 100, 'telephone': 100}"
urbanpro.com,13104,5,"{'geo': 61, 'address': 83, 'name': 100, 'url': 99, 'description': 37}"
zakazremonta.ru,12980,4,"{'image': 100, 'address': 95, 'name': 99, 'aggregaterating': 95}"
tupalo.co,12929,4,"{'geo': 100, 'address': 100, 'name': 100, 'telephone': 62}"
detelefoongids.nl,12908,3,"{'address': 99, 'name': 100, 'telephone': 100}"
lybrate.com,12846,4,"{'image': 100, 'areaserved': 99, 'name': 100, 'aggregaterating': 28}"
minube.com,12473,6,"{'address': 100, 'aggregaterating': 100, 'geo': 100, 'name': 99, 'review': 100, 'telephone': 42}"
bankbazaar.com,12431,3,"{'address': 100, 'name': 100, 'telephone': 100}"
oeffnungszeitenbuch.de,12418,6,"{'address': 100, 'description': 34, 'geo': 100, 'name': 100, 'telephone': 96, 'faxnumber': 35}"
civico.com,12320,6,"{'address': 100, 'geo': 100, 'name': 100, 'openinghoursspecification': 77, 'telephone': 84, 'email': 31}"
sparkasse.de,12312,7,"{'address': 100, 'email': 97, 'geo': 99, 'name': 100, 'openinghours': 93, 'telephone': 97, 'faxnumber': 41}"
weddingwire.com,12310,8,"{'address': 100, 'aggregaterating': 89, 'geo': 100, 'image': 98, 'name': 100, 'review': 89, 'telephone': 97, 'pricerange': 42}"
attorneyhelp.org,12270,3,"{'address': 100, 'name': 100, 'telephone': 100}"
oyecode.com,12057,8,"{'address': 100, 'aggregaterating': 100, 'description': 100, 'geo': 100, 'name': 100, 'openinghours': 100, 'pricerange': 100, 'telephone': 100}"
plugshare.com,11719,4,"{'aggregaterating': 100, 'description': 52, 'name': 100, 'publicaccess': 100}"
yellowpages.ca,11712,5,"{'image': 35, 'address': 99, 'name': 100, 'description': 86, 'url': 35}"
publiboda.com,11619,7,"{'address': 100, 'name': 100, 'telephone': 97, 'fax': 26, 'description': 89, 'aggregaterating': 89, 'interactioncount': 89}"
eleconomista.es,11520,4,"{'address': 100, 'name': 100, 'telephone': 50, 'geo': 92}"
hrblock.com,11270,6,"{'geo': 100, 'address': 100, 'name': 100, 'description': 65, 'telephone': 100, 'openinghours': 62}"
4geo.ru,10717,6,"{'address': 96, 'branchof': 100, 'name': 100, 'description': 96, 'openinghoursspecification': 37, 'telephone': 79}"
is.fi,10431,3,"{'address': 100, 'name': 100, 'telephone': 100}"
street-academy.com,10221,7,"{'address': 76, 'aggregaterating': 67, 'description': 100, 'name': 100, 'pricerange': 100, 'url': 100, 'event': 42}"
ourbis.ca,10081,3,"{'geo': 100, 'address': 100, 'name': 100}"
marktplatz-mittelstand.de,10079,3,"{'address': 98, 'name': 100, 'description': 93}"
habitissimo.es,10020,8,"{'image': 100, 'review': 25, 'name': 100, 'description': 47, 'url': 99, 'address': 46, 'logo': 46, 'aggregaterating': 46}"
petitfute.com,9924,6,"{'address': 100, 'name': 100, 'aggregaterating': 56, 'telephone': 43, 'pricerange': 43, 'sameas': 38}"
papernest.com,9882,10,"{'geo': 100, 'name': 100, 'url': 100, 'address': 99, 'areaserved': 99, 'brand': 99, 'paymentaccepted': 99, 'pricerange': 99, 'publicaccess': 99, 'telephone': 99}"
churchangel.com,9803,3,"{'address': 99, 'name': 100, 'telephone': 99}"
herokuapp.com,9694,5,"{'image': 98, 'serialnumber': 98, 'price': 90, 'name': 100, 'description': 99}"
meinestadt.de,9145,4,"{'address': 99, 'description': 90, 'name': 100, 'telephone': 35}"
thumbtack.com,9144,5,"{'aggregaterating': 99, 'name': 100, 'pricerange': 62, 'review': 99, 'address': 37}"
healthhelpzone.com,8833,3,"{'address': 100, 'name': 100, 'telephone': 100}"
sandiegouniontribune.com,8677,4,"{'image': 100, 'address': 97, 'name': 100, 'pricerange': 100}"
nederlandinbedrijf.nl,8642,6,"{'address': 100, 'review': 86, 'name': 100, 'telephone': 80, 'alternatename': 87, 'aggregaterating': 86}"
trailforks.com,8606,6,"{'geo': 99, 'address': 49, 'name': 99, 'description': 99, 'url': 96, 'aggregaterating': 39}"
yabsta.com,8585,4,"{'address': 52, 'legalname': 100, 'name': 100, 'geo': 47}"
local.ch,8550,10,"{'geo': 95, 'address': 99, 'name': 100, 'faxnumber': 29, 'description': 67, 'telephone': 99, 'aggregaterating': 60, 'url': 72, 'image': 52, 'email': 63}"
golocal.de,8341,7,"{'name': 98, 'aggregaterating': 57, 'photo': 69, 'addresslocality': 41, 'address': 54, 'telephone': 51, 'reviewbody': 45}"
wko.at,8241,7,"{'address': 100, 'name': 100, 'faxnumber': 25, 'telephone': 53, 'pricerange': 100, 'url': 39, 'email': 39}"
auskunft.de,8207,6,"{'address': 100, 'geo': 100, 'name': 100, 'telephone': 94, 'url': 76, 'openinghoursspecification': 55}"
centrum.cz,8167,4,"{'address': 99, 'name': 100, 'description': 75, 'aggregaterating': 28}"
grabo.bg,8160,5,"{'address': 89, 'description': 85, 'aggregaterating': 83, 'name': 83, 'review': 82}"
pagesjaunes.ca,8039,5,"{'image': 26, 'address': 100, 'name': 100, 'description': 83, 'url': 26}"
divorcemag.com,7962,3,"{'address': 99, 'name': 100, 'pricerange': 100}"
wellness.com,7961,8,"{'address': 100, 'description': 100, 'employee': 39, 'faxnumber': 29, 'location': 70, 'name': 100, 'pricerange': 100, 'telephone': 97}"
alltrails.com,7915,6,"{'name': 100, 'description': 46, 'aggregaterating': 100, 'geo': 61, 'image': 78, 'review': 59}"
weddingz.in,7818,6,"{'address': 100, 'geo': 93, 'name': 100, 'telephone': 94, 'url': 100, 'aggregaterating': 27}"
101attorney.com,7776,3,"{'address': 100, 'name': 100, 'telephone': 100}"
golfadvisor.com,7699,6,"{'geo': 100, 'image': 99, 'address': 100, 'review': 62, 'name': 100, 'aggregaterating': 62}"
profi.ru,7674,7,"{'address': 98, 'review': 94, 'name': 100, 'telephone': 100, 'aggregaterating': 94, 'pricerange': 92, 'hasoffercatalog': 99}"
loveindonesia.com,7666,4,"{'address': 100, 'name': 100, 'logo': 99, 'telephone': 81}"
fyple.ca,7541,3,"{'address': 100, 'name': 100, 'aggregaterating': 100}"
eleconomistaamerica.co,7414,5,"{'address': 100, 'name': 100, 'description': 100, 'taxid': 88, 'telephone': 88}"
topgoogle.com,7157,5,"{'address': 100, 'name': 100, 'pricerange': 100, 'telephone': 96, 'openinghoursspecification': 27}"
biznesfinder.pl,7105,7,"{'address': 100, 'aggregaterating': 25, 'email': 83, 'geo': 100, 'name': 100, 'openinghoursspecification': 71, 'telephone': 89}"
zaask.pt,7103,5,"{'address': 100, 'description': 100, 'name': 100, 'url': 100, 'aggregaterating': 61}"
groupon.co.uk,7024,4,"{'address': 100, 'geo': 99, 'name': 100, 'description': 29}"
iglobal.co,7015,4,"{'address': 100, 'geo': 78, 'name': 100, 'url': 100}"
spotangels.com,6968,7,"{'address': 100, 'aggregaterating': 100, 'geo': 100, 'name': 100, 'pricerange': 97, 'telephone': 100, 'url': 81}"
fixly.pl,6965,7,"{'address': 100, 'aggregaterating': 100, 'geo': 99, 'name': 100, 'pricerange': 100, 'telephone': 100, 'url': 100}"
paginasamarillas.es,6952,4,"{'address': 97, 'name': 100, 'description': 80, 'telephone': 97}"
99insurance.com,6936,3,"{'address': 100, 'name': 100, 'telephone': 100}"
11888.gr,6918,7,"{'address': 100, 'areaserved': 96, 'contactpoint': 99, 'geo': 100, 'legalname': 79, 'name': 79, 'telephone': 99}"
pitnit.com,6810,9,"{'address': 100, 'aggregaterating': 100, 'geo': 100, 'name': 100, 'telephone': 91, 'url': 100, 'description': 46, 'email': 27, 'openinghours': 25}"
homify.com,6719,4,"{'address': 100, 'geo': 98, 'name': 99, 'telephone': 85}"
oferteo.pl,6672,3,"{'address': 100, 'description': 99, 'name': 100}"
countyoffice.org,6630,5,"{'address': 100, 'description': 100, 'geo': 100, 'name': 100, 'telephone': 92}"
paginegialle.it,6566,10,"{'address': 99, 'name': 100, 'telephone': 99, 'url': 99, 'contactpoint': 91, 'currenciesaccepted': 91, 'legalname': 91, 'vatid': 73, 'openinghours': 66, 'taxid': 46}"
20.ua,6533,7,"{'address': 99, 'aggregaterating': 100, 'geo': 54, 'name': 100, 'pricerange': 100, 'telephone': 97, 'url': 67}"
grhotels.gr,6508,3,"{'address': 100, 'name': 100, 'pricerange': 100}"
grotal.com,6459,3,"{'address': 100, 'name': 100, 'telephone': 97}"
apoi.ru,6449,7,"{'geo': 97, 'image': 100, 'address': 99, 'name': 100, 'aggregaterating': 100, 'telephone': 96, 'description': 36}"
groupon.fr,6443,3,"{'address': 100, 'geo': 99, 'name': 100}"
dandb.com,6405,3,"{'address': 100, 'name': 100, 'telephone': 100}"
singleplatform.com,6386,5,"{'address': 100, 'hasoffercatalog': 100, 'name': 100, 'telephone': 99, 'pricerange': 33}"
aussieweb.com.au,6350,4,"{'address': 100, 'description': 100, 'name': 100, 'telephone': 100}"
list.in.ua,6342,7,"{'address': 100, 'aggregaterating': 40, 'geo': 100, 'name': 100, 'pricerange': 100, 'review': 40, 'telephone': 99}"
familiesonline.co.uk,6302,3,"{'address': 100, 'name': 100, 'telephone': 97}"
megalife.com.ua,6288,5,"{'address': 100, 'name': 100, 'pricerange': 100, 'telephone': 86, 'faxnumber': 34}"
